geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
"1037",-23.54562128115268,-46.639292048001678,"sao paulo","SP"
"1046",-23.546081127035535,-46.64482029837157,"sao paulo","SP"
"1041",-23.5443921648681,-46.639499306278438,"sao paulo","SP"
"1035",-23.541577961711493,-46.641607223296127,"sao paulo","SP"
"1047",-23.546273112412678,-46.641225169715518,"sao paulo","SP"
"1013",-23.546923208436723,-46.6342636964915,"sao paulo","SP"
"1029",-23.543769055769133,-46.634277840851318,"sao paulo","SP"
"1011",-23.547639550320632,-46.636031623154949,"sao paulo","SP"
"1032",-23.53841810407414,-46.634778375266734,"sao paulo","SP"
"1014",-23.546435343326205,-46.633830233971963,"sao paulo","SP"
"1039",-23.541883009983316,-46.639919466703141,"sao paulo","SP"
"1009",-23.54693540437998,-46.636587926596981,"sao paulo","SP"
"1050",-23.549773516504185,-46.645599006665087,"sao paulo","SP"
"1045",-23.541593762969626,-46.641893788100823,"sao paulo","SP"
"1007",-23.550392524842728,-46.637301640717844,"sao paulo","SP"
"1005",-23.549819091869107,-46.63560588995324,"sao paulo","SP"
"1019",-23.552151883432384,-46.630802247157924,"sao paulo","SP"
"1027",-23.538301166801343,-46.630763911045079,"sao paulo","SP"
"1033",-23.540321304749249,-46.636394815973325,"sao paulo","SP"
"1006",-23.550524308355929,-46.636693638351929,"sao paulo","SP"
"1034",-23.542391627195926,-46.637709277851833,"sao paulo","SP"
"1042",-23.544873598101518,-46.640303094494833,"sao paulo","SP"
"1040",-23.540316757429707,-46.637355368717188,"sao paulo","SP"
"1036",-23.541700023861782,-46.641317820560957,"sao paulo","SP"
"1002",-23.548317978071459,-46.635421101996663,"sao paulo","SP"
"1031",-23.536864121011018,-46.633493138207712,"sao paulo","SP"
"1022",-23.544986605055076,-46.633453674851417,"sao paulo","SP"
"1008",-23.54425493154535,-46.634639135589296,"sao paulo","SP"
"1010",-23.547806958346342,-46.636121818538058,"sao paulo","SP"
"1003",-23.549032445467109,-46.635313112268449,"sao paulo","SP"
"1001",-23.549291999999991,-46.633559478233785,"sao paulo","SP"
"1015",-23.544826346129778,-46.630869563968993,"sao paulo","SP"
"1038",-23.542679676299098,-46.638196838849858,"sao paulo","SP"
"1016",-23.548495128772636,-46.633490627676125,"sao paulo","SP"
